sl.no,Type,Course Code,Course Name,Course Type,Ver sio n,L,T,P,J,Credits
1,Foundation Core-Basic Sciences and Mathematics,BCHY101L,Engineering Chemistry,Theory Only,1,3,0,0,0,3
2,Foundation Core-Basic Sciences and Mathematics,BCHY101P,Engineering Chemistry Lab,Lab Only,1,0,0,2,0,1
3,Foundation Core-Basic Sciences and Mathematics,BMAT101L,Calculus,Theory Only,1,3,0,0,0,3
4,Foundation Core-Basic Sciences and Mathematics,BMAT101P,Calculus Lab,Lab Only,1,0,0,2,0,1
5,Foundation Core-Basic Sciences and Mathematics,BMAT102L,Differential Equations and Transforms,Theory Only,1,3,1,0,0,4
6,Foundation Core-Basic Sciences and Mathematics,BMAT201L,Complex Variables and Linear Algebra,Theory Only,1,3,1,0,0,4
7,Foundation Core-Basic Sciences and Mathematics,BMAT202L,Probability and Statistics,Theory Only,1,3,0,0,0,3
8,Foundation Core-Basic Sciences and Mathematics,BMAT202P,Probability and Statistics Lab,Lab Only,1,0,0,2,0,1
9,Foundation Core-Basic Sciences and Mathematics,BPHY101L,Engineering Physics,Theory Only,1,3,0,0,0,3
10,Foundation Core-Basic Sciences and Mathematics,BPHY101P,Engineering Physics Lab,Lab Only,1,0,0,2,0,1
11,"Foundation Core-Humanities, Social Sciences and Management",BENG101L,Technical English Communication,Theory Only,1,2,0,0,0,2
12,"Foundation Core-Humanities, Social Sciences and Management",BENG101P,Technical English Communication Lab,Lab Only,1,0,0,2,0,1
13,"Foundation Core-Humanities, Social Sciences and Management",BENG102P,Technical Report Writing,Lab Only,1,0,0,2,0,1
14,"Foundation Core-Humanities, Social Sciences and Management",BFLE200L,Foreign Language,Basket,1,0,0,0,0,2
15,"Foundation Core-Humanities, Social Sciences and Management",BHSM200L,HSM Elective,Basket,1,0,0,0,0,3
16,"Foundation Core-Humanities, Social Sciences and Management",BSTS101P,Quantitative Skills Practice I,Soft Skill,1.1,3,0,0,0,1.5
17,"Foundation Core-Humanities, Social Sciences and Management",BSTS102P,Quantitative Skills Practice II,Soft Skill,1,3,0,0,0,1.5
18,"Foundation Core-Humanities, Social Sciences and Management",BSTS201P,Qualitative Skills Practice I,Soft Skill,1,3,0,0,0,1.5
19,"Foundation Core-Humanities, Social Sciences and Management",BSTS202P,Qualitative Skills Practice II,Soft Skill,1.1,3,0,0,0,1.5
20,Foundation Core-Basic Engineering Sciences,BCSE101E,Computer Programming: Python,Embedded Theory and Lab,1,1,0,4,0,3
21,Foundation Core-Basic Engineering Sciences,BCSE102L,Structured and Object-Oriented Programming,Theory Only,1,2,0,0,0,2
22,Foundation Core-Basic Engineering Sciences,BCSE102P,Structured and Object-Oriented Programming Lab,Lab Only,1,0,0,4,0,2
23,Foundation Core-Basic Engineering Sciences,BCSE103E,Computer Programming: Java,Embedded Theory and Lab,1,1,0,4,0,3
24,Foundation Core-Basic Engineering Sciences,BEEE102L,Basic Electrical and Electronics Engineering,Theory Only,1,3,0,0,0,3
25,Foundation Core-Basic Engineering Sciences,BEEE102P,Basic Electrical and Electronics Engineering Lab,Lab Only,1,0,0,2,0,1
26,Discipline Core,BCSE202L,Data Structures and Algorithms,Theory Only,1,3,0,0,0,3
27,Discipline Core,BCSE202P,Data Structures and Algorithms Lab,Lab Only,1,0,0,2,0,1
28,Discipline Core,BCSE203E,Web Programming,Embedded Theory and Lab,1,1,0,4,0,3
29,Discipline Core,BCSE204L,Design and Analysis of Algorithms,Theory Only,1,3,0,0,0,3
30,Discipline Core,BCSE204P,Design and Analysis of Algorithms Lab,Lab Only,1,0,0,2,0,1
31,Discipline Core,BCSE205L,Computer Architecture and Organization,Theory Only,1,3,0,0,0,3
32,Discipline Core,BCSE301L,Software Engineering,Theory Only,1,3,0,0,0,3
33,Discipline Core,BCSE301P,Software Engineering Lab,Lab Only,1,0,0,2,0,1
34,Discipline Core,BCSE302L,Database Systems,Theory Only,1,3,0,0,0,3
35,Discipline Core,BCSE302P,Database Systems Lab,Lab Only,1,0,0,2,0,1
36,Discipline Core,BCSE303L,Operating Systems,Theory Only,1,3,0,0,0,3
