sl.no,Type,Course Code,Course Name,Course Type,Ver sio n,L,T,P,J,Credits
1,Foundation Core - Basic Sciences and Mathematics,BCHY101L,Engineering Chemistry,Theory Only,1,3,0,0,0,3
2,Foundation Core - Basic Sciences and Mathematics,BCHY101P,Engineering Chemistry Lab,Lab Only,1,0,0,2,0,1
3,Foundation Core - Basic Sciences and Mathematics,BMAT101L,Calculus,Theory Only,1,3,0,0,0,3
4,Foundation Core - Basic Sciences and Mathematics,BMAT101P,Calculus Lab,Lab Only,1,0,0,2,0,1
5,Foundation Core - Basic Sciences and Mathematics,BMAT102L,Differential Equations and Transforms,Theory Only,1,3,1,0,0,4
6,Foundation Core - Basic Sciences and Mathematics,BMAT201L,Complex Variables and Linear Algebra,Theory Only,1,3,1,0,0,4
7,Foundation Core - Basic Sciences and Mathematics,BMAT202L,Probability and Statistics,Theory Only,1,3,0,0,0,3
8,Foundation Core - Basic Sciences and Mathematics,BMAT202P,Probability and Statistics Lab,Lab Only,1,0,0,2,0,1
9,Foundation Core - Basic Sciences and Mathematics,BPHY101L,Engineering Physics,Theory Only,1,3,0,0,0,3
10,Foundation Core - Basic Sciences and Mathematics,BPHY101P,Engineering Physics Lab,Lab Only,1,0,0,2,0,1
11,Foundation Core - Basic Engineering Sciences,BCSE101E,Computer Programming: Python,Embedded Theory and Lab,1,1,0,4,0,3
12,Foundation Core - Basic Engineering Sciences,BCSE103E,Computer Programming: Java,Embedded Theory and Lab,1,1,0,4,0,3
13,Foundation Core - Basic Engineering Sciences,BEEE102L,Basic Electrical and Electronics Engineering,Theory Only,1,3,0,0,0,3
14,Foundation Core - Basic Engineering Sciences,BEEE102P,Basic Electrical and Electronics Engineering Lab,Lab Only,1,0,0,2,0,1
15,"Foundation Core - Humanities, Social Sciences and Management",BENG101L,Technical English Communication,Theory Only,1,2,0,0,0,2
16,"Foundation Core - Humanities, Social Sciences and Management",BENG101P,Technical English Communication Lab,Lab Only,1,0,0,2,0,1
17,"Foundation Core - Humanities, Social Sciences and Management",BENG102P,Technical Report Writing,Lab Only,1,0,0,2,0,1
18,"Foundation Core - Humanities, Social Sciences and Management",BFLE200L,Foreign Language,Basket,1,0,0,0,0,2
19,"Foundation Core - Humanities, Social Sciences and Management",BHSM200L,HSM Elective,Basket,1,0,0,0,0,3
20,"Foundation Core - Humanities, Social Sciences and Management",BSTS101P,Quantitative Skills Practice I,Soft Skill,1.1,3,0,0,0,1.5
21,"Foundation Core - Humanities, Social Sciences and Management",BSTS102P,Quantitative Skills Practice II,Soft Skill,1,3,0,0,0,1.5
22,"Foundation Core - Humanities, Social Sciences and Management",BSTS201P,Qualitative Skills Practice I,Soft Skill,1,3,0,0,0,1.5
23,"Foundation Core - Humanities, Social Sciences and Management",BSTS202P,Qualitative Skills Practice II,Soft Skill,1.1,3,0,0,0,1.5
24,Discipline-linked Engineering Sciences,BECE201L,Electronic Materials and devices,Theory Only,1,3,0,0,0,3
25,Discipline-linked Engineering Sciences,BECE202L,Signals and Systems,Theory Only,1,2,1,0,0,3
26,Discipline-linked Engineering Sciences,BECE203L,Circuit Theory,Theory Only,1,3,1,0,0,4
27,Discipline Core,BECE102L,Digital Systems Design,Theory Only,1,3,0,0,0,3
28,Discipline Core,BECE102P,Digital Systems Design Lab,Lab Only,1,0,0,2,0,1
29,Discipline Core,BECE204L,Microprocessors and Microcontrollers,Theory Only,1,3,0,0,0,3
30,Discipline Core,BECE204P,Microprocessors and Microcontrollers Lab,Lab Only,1,0,0,2,0,1
31,Discipline Core,BECE205L,Engineering Electromagnetics,Theory Only,1,3,0,0,0,3
32,Discipline Core,BECE206L,Analog Circuits,Theory Only,1,3,0,0,0,3
33,Discipline Core,BECE206P,Analog Circuits Lab,Lab Only,1,0,0,2,0,1
34,Discipline Core,BECE207L,Random Processes,Theory Only,1,2,1,0,0,3
35,Discipline Core,BECE301L,Digital Signal Processing,Theory Only,1,3,0,0,0,3
36,Discipline Core,BECE301P,Digital Signal Processing Lab,Lab Only,1,0,0,2,0,1
